ProductNo,category,sub_category,product,brand,market_price,rating
22599,Gourmet & World Food,Cooking & Baking Needs,Barbeque Sauce 100 g + Peri Peri Sauce 100 g Pouch + Sriracha Sauce 100 g,SPICHI,375,
22600,Cleaning & Household,Fresheners & Repellents,Air Freshener Spray Bottle - Himalayan Moutain Mist,Air wick,161,2.3
22604,Cleaning & Household,All Purpose Cleaners,"Disinfectant Floor Cleaner Liquid - Sandal, Kills 99.9% Germs",Lizol,186,4.4
22605,Snacks & Branded Foods,Pickles & Chutney,Achar - Sweet & Sour Berry,Max Health ,130,4.1
22608,Beauty & Hygiene,Health & Medicine,Kumaryasava,Dabur,180,
22614,Snacks & Branded Foods,Chocolates & Candies,Ultimate Choco Almond Bar,RiteBite Max Protein,170,4.3
22619,"Bakery, Cakes & Dairy",Cakes & Pastries,Cup Cake - Chocolate,Milk Ma,35,3.6
22620,Gourmet & World Food,Bakery Snacks,Misti Doi - Artisanal,Epigamia ,30,4.2
22621,"Foodgrains, Oil & Masala",Organic Staples,Organic Raw Sugar/Sakkare,Praakritik,90,4
22622,Beauty & Hygiene,Men's Grooming,Men - Pimple Clear Face Wash,Ponds,205,4.1
22624,Gourmet & World Food,Cooking & Baking Needs,Black Quinoa From Peru,Voila,450,
22625,"Kitchen, Garden & Pets",Crockery & Cutlery,Dazzle Noodle Opalware Bowl Set - Lush Fiesta,Cello,225,4.9
22629,Gourmet & World Food,Dairy & Cheese,Peri Peri Garlic Dip,Wingreens Farms,400,
22631,Snacks & Branded Foods,Frozen Veggies & Snacks,Burger Party,ITC Master Chef,345,
22639,Baby Care,Diapers & Wipes,"Reusable Fabic Diaper - Large, Pink",Paw Paw,269,2.7
22640,Gourmet & World Food,"Sauces, Spreads & Dips",100% Pure Peanut Butter,Yoga bar,229,3.5
22642,Baby Care,Diapers & Wipes,New Dry Small - 36 Diapers,Huggies,470,3.9
22643,"Foodgrains, Oil & Masala",Organic Staples,Organic - Ghee/Tuppa,Turn Organic ,349,3.7
22644,Gourmet & World Food,Dairy & Cheese,Feta Cheese,MOOZ,320,
22645,Gourmet & World Food,"Sauces, Spreads & Dips",Marmalade - Three-Fruit,Bhuira,299,4.3
22646,Beverages,Energy & Soft Drinks,Fizz - Lime Lemon Classic Cola 300 ml + Fizz - Lime Lemon 300 ml,Shunya,120,
22647,Fruits & Vegetables,Fresh Fruits,Coconut - Organically Grown,Fresho,40,
22650,Cleaning & Household,Stationery,"Notebook - Unruled, Long",Classmate,48,4
22651,Beauty & Hygiene,Bath & Hand Wash,Lavender Heart Bath Gift Set For Skin & Hair,Soulflower,2000,
22653,Beauty & Hygiene,Hair Care,"Syoss - Renew 7 Complete Repair, 01 Shampoo",Schwarzkopf,425,5
22659,"Kitchen, Garden & Pets",Crockery & Cutlery,Royal VS Medium Plate Set,Corelle,2730,3
22666,Snacks & Branded Foods,Ready To Cook & Eat,Ready To Eat - Bisibele Bhath,MTR,99,3.8
22675,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Organic Roasted Flax Seeds,Anveshan,250,
22676,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",Noodles Magic Masala,Sunfeast YiPPee!,144,4.4
22679,"Foodgrains, Oil & Masala",Masalas & Spices,Organic - White Pepper,bb Royal,75,4.3
22687,Cleaning & Household,Car & Shoe Care,"Click Gel - Car Vent Air Freshener Kit, Rich Irish Cocktail",Aer,299,3.9
22693,Cleaning & Household,Fresheners & Repellents,"Soild Gel Air Freshener - Whipped Vanilla, Toffee & Roasted Chestnuts",RENUZIT,199,
22694,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery",Rock Salt/Uppu,Organic Nation,50,4
22695,Beauty & Hygiene,Feminine Hygiene,Hair Removal Cream For Normal Skin,Veet,75,4.3
22697,Beverages,Energy & Soft Drinks,Mountain Dew,Mountain Dew,40,4.4
22698,"Kitchen, Garden & Pets",Cookware & Non Stick,Svachh DLX Alpha Steel Outer Lid Pressure Cooker (20248),Prestige,2540,5
22699,Beauty & Hygiene,Hair Care,Excellence Creme Hair Color,Loreal Paris,620,4.4
22701,Cleaning & Household,All Purpose Cleaners,Floor Cleaner - Herbal,Nimyle,300,4.4
22703,Gourmet & World Food,"Sauces, Spreads & Dips",Ghee Spreads - Dark Chocolate Orange,Epigamia ,350,3.2
22713,Beverages,"Health Drink, Supplement",Health Drink Cookies & Cream 400g + Nutritional Powder Premium Chocolate 400g,Pediasure,1040,
22714,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",Tasties Khari - Maska 200 gm + bb Royal Tea - Masters Blend 250 gm,bb Combo,265,
22716,Beauty & Hygiene,Skin Care,Revitalift Intensive Repairing Essence,Loreal Paris,925,
22717,Snacks & Branded Foods,Chocolates & Candies,3 Layer Gum - Sugarfreee Strawberry Flavour,Center Fresh,25,4.5
22720,Beauty & Hygiene,Health & Medicine,OH! Pleasure Gel for Women,Skore,500,1
22722,Gourmet & World Food,Chocolates & Biscuits,Kantan Tennis Balls,Fini,40,5
22725,Snacks & Branded Foods,Snacks & Namkeen,Bhakhri Baked Mathri - Jeera,Tasties,110,3.9
22726,"Foodgrains, Oil & Masala",Masalas & Spices,Shahi Sabji Masala,Keya,54,3.8
